path people_name label 
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/b55.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/a57.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/a15.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/c89.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/c85.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/a32.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/b78.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/c1.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/b74.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/c27.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/c81.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/b82.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/a10.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/c4.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/a52.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/b51.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/a19.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/c36.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/a85.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/a5.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/c23.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/a63.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/c47.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/a25.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/b99.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/b40.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/c64.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/b1.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/a12.mat 0 0
/home/guoji/radar/radar_7act_data_I_Q/walk_hold/hq/c3.mat 0 0
